s0	: L(r1,r2)
s82	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~P).L(r1!4,r2!5).R(X!3,i~off,l!5).R(X!1,i~off,l!4).S(DD!6,PH,SH2!2).S(DD!6,PH,SH2)
s83	: J(K!1,Y1~P!2,Y2~U).J(K!3,Y1~U,Y2~P).L(r1!4,r2!5).R(X!1,i~off,l!5).R(X!3,i~off,l!4).S(DD!6,PH,SH2!2).S(DD!6,PH,SH2)
s84	: J(K,Y1~P,Y2~P)
s85	: J(K!1,Y1~P,Y2~P).L(r1!2,r2!3).R(X!1,i~off,l!3).R(X,i~off,l!2)
s86	: J(K!1,Y1~P,Y2~P).L(r1!2,r2!3).R(X!1,i~off,l!2).R(X,i~off,l!3)
s87	: J(K!1,Y1~U,Y2~P).L(r1!2,r2!3).R(X!1,i~on,l!3).R(X,i~on,l!2)
s88	: J(K!1,Y1~U,Y2~P).L(r1!2,r2!3).R(X!1,i~on,l!2).R(X,i~on,l!3)
s89	: J(K!1,Y1~P,Y2~U).L(r1!2,r2!3).R(X!1,i~on,l!3).R(X,i~on,l!2)
s90	: J(K!1,Y1~P,Y2~U).L(r1!2,r2!3).R(X!1,i~on,l!2).R(X,i~on,l!3)
s91	: J(K!1,Y1~P,Y2~P).J(K!2,Y1~P,Y2~U).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X!2,i~off,l!3)
s92	: J(K!1,Y1~P,Y2~P).J(K!2,Y1~P,Y2~U).L(r1!3,r2!4).R(X!2,i~off,l!4).R(X!1,i~off,l!3)
s93	: J(K!1,Y1~P,Y2~P).J(K!2,Y1~U,Y2~P).L(r1!3,r2!4).R(X!1,i~off,l!4).R(X!2,i~off,l!3)
s94	: J(K!1,Y1~P,Y2~P).J(K!2,Y1~U,Y2~P).L(r1!3,r2!4).R(X!2,i~off,l!4).R(X!1,i~off,l!3)
s95	: J(K!1,Y1~P,Y2~P).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!1,i~on,l!4).R(X!2,i~on,l!3)
s96	: J(K!1,Y1~P,Y2~U).J(K!2,Y1~U,Y2~P).L(r1!3,r2!4).R(X!1,i~on,l!4).R(X!2,i~on,l!3)
s97	: J(K!1,Y1~P,Y2~P).J(K!2,Y1~U,Y2~U).L(r1!3,r2!4).R(X!2,i~on,l!4).R(X!1,i~on,l!3)
s98	: J(K!1,Y1~P,Y2~U).J(K!2,Y1~U,Y2~P).L(r1!3,r2!4).R(X!2,i~on,l!4).R(X!1,i~on,l!3)
s99	: J(K!1,Y1~U,Y2~P).J(K!2,Y1~U,Y2~P).L(r1!3,r2!4).R(X!1,i~on,l!4).R(X!2,i~on,l!3)
s100	: J(K!1,Y1~U,Y2~P).R(X!1,i~on,l)
s101	: J(K!1,Y1~P,Y2~U).R(X!1,i~on,l)
s102	: J(K!1,Y1~U,Y2~P).L(r1!2,r2).R(X!1,i~on,l!2)
s103	: J(K!1,Y1~U,Y2~P).L(r1,r2!2).R(X!1,i~on,l!2)
